microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol,slope,activity
S. ACM-3962,amc,l-leucine-amc,0,300,2,17066.13,0,0.001,0.597702401,
S. ACM-3962,amc,l-leucine-amc,0.166666667,300,2,83014.21,0,0.001,0.890572635,
S. ACM-3962,amc,l-leucine-amc,0.333333333,300,2,149756.95,0,0.001,1.186971891,
S. ACM-3962,amc,l-leucine-amc,0.5,300,2,216494,0,0.001,1.483345879,
S. ACM-3962,amc,l-leucine-amc,0.666666667,300,2,282036.87,0,0.001,1.774416607,
S. ACM-3962,amc,l-leucine-amc,0,300,3,18178.47,0,0.001,0.602642215,
S. ACM-3962,amc,l-leucine-amc,0.166666667,300,3,67015.43,0,0.001,0.819523312,
S. ACM-3962,amc,l-leucine-amc,0.333333333,300,3,123984.57,0,0.001,1.07251878,
S. ACM-3962,amc,l-leucine-amc,0.5,300,3,180439.34,0,0.001,1.323229971,
S. ACM-3962,amc,l-leucine-amc,0.666666667,300,3,243824.17,0,0.001,1.604717013,
S. ACM-3962,amc,l-leucine-amc,0,400,1,12088.44,0,0.001,0.575596871,
S. ACM-3962,amc,l-leucine-amc,0.166666667,400,1,66520.41,0,0.001,0.817324967,
S. ACM-3962,amc,l-leucine-amc,0.333333333,400,1,124115.18,0,0.001,1.073098808,
S. ACM-3962,amc,l-leucine-amc,0.5,400,1,175256.07,0,0.001,1.300211477,
S. ACM-3962,amc,l-leucine-amc,0.666666667,400,1,241562.32,0,0.001,1.594672316,
S. ACM-3962,amc,l-leucine-amc,0,400,2,16800.94,0,0.001,0.596524713,
S. ACM-3962,amc,l-leucine-amc,0.166666667,400,2,105231.75,0,0.001,0.989238982,
S. ACM-3962,amc,l-leucine-amc,0.333333333,400,2,182479.67,0,0.001,1.332290916,
S. ACM-3962,amc,l-leucine-amc,0.5,400,2,261597.28,0,0.001,1.683645996,
S. ACM-3962,amc,l-leucine-amc,0.666666667,400,2,341461.5,0,0.001,2.038316713,
S. ACM-3962,amc,l-leucine-amc,0,400,3,12820.77,0,0.001,0.578849091,
S. ACM-3962,amc,l-leucine-amc,0.166666667,400,3,53451.8,0,0.001,0.759288298,
S. ACM-3962,amc,l-leucine-amc,0.333333333,400,3,97088.03,0,0.001,0.953073362,
S. ACM-3962,amc,l-leucine-amc,0.5,400,3,147709.45,0,0.001,1.177879105,
S. ACM-3962,amc,l-leucine-amc,0.666666667,400,3,202205.93,0,0.001,1.419893684,
E. coli K12,amc,l-leucine-amc,0,0,1,6536.13,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,0,1,6533.01,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,0,1,6543.79,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,0,1,6546.63,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,0,1,6590.65,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,0,2,6610.1,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,0,2,6548.73,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,0,2,6563.53,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,0,2,6616.39,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,0,2,6621.03,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,0,3,6541.3,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,0,3,6514.91,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,0,3,6525.34,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,0,3,6573.88,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,0,3,6613.31,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,50,1,7633.77,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,50,1,9360.34,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,50,1,9963.05,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,50,1,10720.92,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,50,1,11382.7,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,50,2,8798.28,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,50,2,9523.57,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,50,2,10220.53,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,50,2,10931.19,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,50,2,11690.76,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,50,3,7137.16,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,50,3,8882.45,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,50,3,9437.89,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,50,3,10153.65,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,50,3,10867.4,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,100,1,10862.98,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,100,1,11459.26,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,100,1,12466.07,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,100,1,13775.68,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,100,1,14939.38,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,100,2,9953.51,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,100,2,11807.37,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,100,2,13341.66,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,100,2,14571.34,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,100,2,15880.7,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,100,3,10232.94,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,100,3,11522.24,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,100,3,12984.05,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,100,3,14262.56,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,100,3,15534.56,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,200,1,13937.94,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,200,1,16885.13,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,200,1,19541.98,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,200,1,21998.54,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,200,1,24392.82,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,200,2,13492.04,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,200,2,16460.3,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,200,2,19143.5,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,200,2,21510.68,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,200,2,23762.65,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,200,3,16968.1,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,200,3,16825.44,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,200,3,18906.18,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,200,3,21473.49,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,200,3,23570.74,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,300,1,16836.53,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,300,1,22458.63,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,300,1,25122.21,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,300,1,28447.29,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,300,1,31660.7,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,300,2,20820.51,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,300,2,21421.5,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,300,2,25162.21,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,300,2,28434.65,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,300,2,31492.26,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,300,3,20894.14,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,300,3,21490.24,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,300,3,25533.56,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,300,3,28468.14,0,0.001,,
