site_name,std_type,substrate_type,time,substrate_conc,signal,replicate,buffer_vol,homo_vol,soil_mass,assay_vol,homo_control,substrate_control
tyson,amc,l-leucine-amc,120,0,3640.14,1,1,1,1,1,3301.09,423.63
tyson,amc,l-leucine-amc,120,0,3501.89,2,1,1,1,1,3302.61,418.35
tyson,amc,l-leucine-amc,120,0,3480.03,3,1,1,1,1,3301.51,566.72
tyson,amc,l-leucine-amc,120,50,414553.12,1,1,1,1,1,3301.09,13976.06
tyson,amc,l-leucine-amc,120,50,256376.89,2,1,1,1,1,3302.61,16927.98
tyson,amc,l-leucine-amc,120,50,135802.26,3,1,1,1,1,3301.51,16216.16
tyson,amc,l-leucine-amc,120,100,383709.34,1,1,1,1,1,3301.09,28224.63
tyson,amc,l-leucine-amc,120,100,259459.18,2,1,1,1,1,3302.61,282220.1
tyson,amc,l-leucine-amc,120,100,337298.09,3,1,1,1,1,3301.51,41683.29
tyson,amc,l-leucine-amc,120,200,484878.65,1,1,1,1,1,3301.09,46005.89
tyson,amc,l-leucine-amc,120,200,328012.03,2,1,1,1,1,3302.61,54928.53
tyson,amc,l-leucine-amc,120,200,212548.64,3,1,1,1,1,3301.51,43193.07
tyson,amc,l-leucine-amc,120,300,212554.73,1,1,1,1,1,3301.09,57638.66
tyson,amc,l-leucine-amc,120,300,308158.59,2,1,1,1,1,3302.61,71873.51
tyson,amc,l-leucine-amc,120,300,249852.51,3,1,1,1,1,3301.51,48898.45
tyson,amc,l-leucine-amc,120,400,249852.51,1,1,1,1,1,3301.09,73625.68
tyson,amc,l-leucine-amc,120,400,300279.71,2,1,1,1,1,3302.61,72246.08
tyson,amc,l-leucine-amc,120,400,281845.15,3,1,1,1,1,3301.51,75930.8
