site.name,std.type,std.conc,homo.signal 
tyson,amc,0,1137.07
tyson,amc,0,1339.39
tyson,amc,0,1329.25
tyson,amc,0.1,34512.84
tyson,amc,0.1,52429.52
tyson,amc,0.1,39388.03
tyson,amc,0.2,63973.73
tyson,amc,0.2,75605.08
tyson,amc,0.2,76658.07
tyson,amc,0.3,117829.47
tyson,amc,0.3,93233.56
tyson,amc,0.3,84575.7
tyson,amc,0.4,236216.51
tyson,amc,0.4,134284.71
tyson,amc,0.4,121175.14
