site.name,std.type,sub.type,time,sub.conc,replicate,signal
tyson,pna,l-leucine-pna,20,50,3,112392.05
tyson,pna,l-leucine-pna,30,50,3,146584.89
tyson,pna,l-leucine-pna,40,50,3,171808.81
tyson,pna,l-leucine-pna,0,100,1,39521.86
tyson,pna,l-leucine-pna,10,100,1,101013.4
tyson,pna,l-leucine-pna,20,100,1,147244.28
tyson,pna,l-leucine-pna,30,100,1,190415.79
tyson,pna,l-leucine-pna,40,100,1,230969.62
tyson,pna,l-leucine-pna,0,100,2,39848.01
tyson,pna,l-leucine-pna,10,100,2,101763.03
tyson,pna,l-leucine-pna,20,100,2,149522.4
tyson,pna,l-leucine-pna,30,100,2,193899.96
tyson,pna,l-leucine-pna,40,100,2,235708.32
tyson,pna,l-leucine-pna,0,100,3,39902.98
tyson,pna,l-leucine-pna,10,100,3,99316.25
tyson,pna,l-leucine-pna,20,100,3,146325.46
tyson,pna,l-leucine-pna,30,100,3,187896.42
tyson,pna,l-leucine-pna,40,100,3,228935.32
tyson,pna,l-leucine-pna,0,200,1,42632.73
tyson,pna,l-leucine-pna,10,200,1,120263.32
tyson,pna,l-leucine-pna,20,200,1,185416.28
tyson,pna,l-leucine-pna,30,200,1,244105.28
tyson,pna,l-leucine-pna,40,200,1,302165.25
tyson,pna,l-leucine-pna,0,200,2,43329.89
tyson,pna,l-leucine-pna,10,200,2,120590.2
tyson,pna,l-leucine-pna,20,200,2,184479.21
tyson,pna,l-leucine-pna,30,200,2,241266.2
tyson,pna,l-leucine-pna,40,200,2,298442.81
tyson,pna,l-leucine-pna,0,200,3,50810.35
tyson,pna,l-leucine-pna,10,200,3,125158.34
tyson,pna,l-leucine-pna,20,200,3,186165.75
tyson,pna,l-leucine-pna,30,200,3,243903.78
tyson,pna,l-leucine-pna,40,200,3,298530.03
tyson,pna,l-leucine-pna,0,300,1,47076.79
tyson,pna,l-leucine-pna,10,300,1,131984.84
tyson,pna,l-leucine-pna,20,300,1,201508.89
tyson,pna,l-leucine-pna,30,300,1,267456.18
tyson,pna,l-leucine-pna,40,300,1,332709.43
tyson,pna,l-leucine-pna,0,300,2,48002.16
tyson,pna,l-leucine-pna,10,300,2,134010.46
tyson,pna,l-leucine-pna,20,300,2,202764.76
tyson,pna,l-leucine-pna,30,300,2,267868.59
tyson,pna,l-leucine-pna,40,300,2,334641.09
tyson,pna,l-leucine-pna,0,300,3,50291.98
tyson,pna,l-leucine-pna,10,300,3,135714.14
tyson,pna,l-leucine-pna,20,300,3,204138.75
tyson,pna,l-leucine-pna,30,300,3,267520.96
tyson,pna,l-leucine-pna,40,300,3,333253.34
tyson,pna,l-leucine-pna,0,400,1,50370.83
tyson,pna,l-leucine-pna,10,400,1,140308.73
tyson,pna,l-leucine-pna,20,400,1,220437.01
tyson,pna,l-leucine-pna,30,400,1,291885.75
tyson,pna,l-leucine-pna,40,400,1,364529.9
tyson,pna,l-leucine-pna,0,400,2,52025.77
tyson,pna,l-leucine-pna,10,400,2,143667.6
tyson,pna,l-leucine-pna,20,400,2,224413.67
tyson,pna,l-leucine-pna,30,400,2,296462.59
tyson,pna,l-leucine-pna,40,400,2,368590.06
tyson,pna,l-leucine-pna,0,400,3,52814.32
tyson,pna,l-leucine-pna,10,400,3,144611.04
tyson,pna,l-leucine-pna,20,400,3,224220.15
tyson,pna,l-leucine-pna,30,400,3,300852.31
tyson,pna,l-leucine-pna,40,400,3,373514.31
