microbe,std_type,std_conc,homo_buffer_signal
a,amc,500,127492.7
a,amc,1000,231577.5
a,amc,1500,374499.65
a,amc,2000,490993.81
a,amc,2500,726199.56
a,amc,3000,812769.43
a,amc,3500,981267
a,amc,4000,1070537.5
