std.conc,spec,replicate
0,1337.07,1
0,1339.39,2
0,1329.25,3
0.1,34512.84,1
0.1,52429.52,2
0.1,39388.03,3
0.2,63973.73,1
0.2,75605.08,2
0.2,76658.07,3
0.3,117829.47,1
0.3,23233.56,2
0.3,84575.7,3
0.4,236216.51,1
0.4,134284.71,2
0.4,121175.14,3
