site.name,std.type,std.conc,homo.signal,buffer.signal
victor_ashe,amc,0,4996.6,413.67
victor_ashe,amc,0,4859.96,413.57
victor_ashe,amc,1,229221.03,401310.03
victor_ashe,amc,1,222864.45,387823.40
victor_ashe,amc,2,429533.03,794022.87
victor_ashe,amc,2,378573.68,822390.43
victor_ashe,amc,3,592901.5,1254915.12
victor_ashe,amc,3,528270.81,1303128.75
victor_ashe,amc,4,883065.81,1655060.00
victor_ashe,amc,4,947316.93,1748146.25
